date,revenue,fees,expenses
2021-08-20,111685.15687178218,1110581.8550407444,998896.6981689623
2021-08-21,130967.15668921455,1290649.4824823788,1159682.3257931643
2021-08-22,181038.89252350945,1785269.4397199117,1604230.5471964022
2021-08-23,208238.0153225543,2046361.794319907,1838123.7789973526
2021-08-24,206008.49330073033,2028375.2501767313,1822366.756876001
2021-08-25,146816.46186800857,1451317.9767676839,1304501.5148996753
2021-08-26,147840.6940606625,1448081.3907455667,1300240.6966849042
2021-08-27,130539.06566659617,1262153.7610471253,1131614.6953805292
2021-08-28,128964.65552928227,1269314.2009004352,1140349.545371153
2021-08-29,147897.5207153651,1444846.7771478342,1296949.256432469
2021-08-30,164521.60165193968,1629391.182672039,1464869.581020099
2021-08-31,182100.45557076205,1799125.9858139306,1617025.5302431686
2021-09-01,190543.38252763703,1865206.8218518088,1674663.4393241717
2021-09-02,170145.0959037471,1712854.9010299025,1542709.8051261555
2021-09-03,202313.95206854254,1991743.4463158639,1789429.4942473213
2021-09-04,200739.34012492624,2008891.6232840372,1808152.283159111
2021-09-05,176242.93082944787,1736257.2652783054,1560014.3344488575
2021-09-06,161611.3400316384,1587442.8274315323,1425831.4873998938
2021-09-07,239220.089597289,2380709.7905427758,2141489.700945487
2021-09-08,251812.3290280111,2531389.7062506587,2279577.3772226474
2021-09-09,137650.87422010186,1369259.2040508054,1231608.3298307036
2021-09-10,166845.23503388412,1639204.4287905958,1472359.1937567117
2021-09-11,160150.3087997905,1581014.4102720306,1420864.1014722402
2021-09-12,144143.77736987759,1399947.740054919,1255803.9626850414
2021-09-13,159442.5432270515,1579676.512639083,1420233.9694120316
2021-09-14,180862.09795028972,1780064.000784189,1599201.9028338993
2021-09-15,142283.72871679097,1399310.1316498895,1257026.4029330986
2021-09-16,128346.99200325446,1197525.8645523582,1069178.8725491038
2021-09-17,177866.21021086708,1708170.103763743,1530303.893552876
2021-09-18,176405.16252874647,1756512.9515076284,1580107.788978882
2021-09-19,149474.37868905635,1463728.5548476004,1314254.1761585441
2021-09-20,147304.3799468322,1444786.3760341138,1297481.9960872815
2021-09-21,142249.23224376712,1438426.0414920403,1296176.8092482733
2021-09-22,136434.36589361686,1381074.964657203,1244640.5987635863
2021-09-23,133614.78699345875,1327339.7639763602,1193724.9769829013
2021-09-24,173630.8967589986,1710760.9681886188,1537130.0714296203
2021-09-25,172523.38206978067,1737615.9671862414,1565092.5851164607
2021-09-26,144612.96459477427,1426131.3775480492,1281518.412953275
2021-09-27,145159.36172549505,1425533.8200601395,1280374.4583346446
2021-09-28,158330.12796902822,1532271.795677928,1373941.6677088998
2021-09-29,135818.8030937229,1520305.4926714757,1384486.6895777527
2021-09-30,126071.9649922639,1220684.6203796312,1094612.6553873674
2021-10-01,141103.12800798914,1333927.590816683,1192824.4628086938
2021-10-02,143116.59171133017,1371698.2607836663,1228581.669072336
2021-10-03,159509.11746601,1538691.986061696,1379182.868595686
2021-10-04,154315.92881548966,1498400.5119156742,1344084.5831001846
2021-10-05,147825.05535902505,1446628.2278960194,1298803.1725369943
2021-10-06,184088.42895343484,1793948.516128426,1609860.0871749911
2021-10-07,187849.3320530891,1825982.5516788445,1638133.2196257554
2021-10-08,205900.48501015,1992254.1548855833,1786353.6698754332
2021-10-09,169561.39116104448,1599805.6928877777,1430244.3017267333
2021-10-10,159135.96731711962,1502173.4882305446,1343037.520913425
2021-10-11,167251.98183838231,1599292.1329654828,1432040.1511271005
2021-10-12,184541.04732273574,1786212.976874094,1601671.9295513583
2021-10-13,200270.11443717024,1915395.9485476478,1715125.8341104775
2021-10-14,193173.46722645086,1837579.7263227936,1644406.2590963428
2021-10-15,230096.49783206393,2202063.5099203386,1971967.0120882746
2021-10-16,283455.43022737815,2712732.8616088517,2429277.4313814733
2021-10-17,221154.4917451951,2059899.26231352,1838744.770568325
2021-10-18,199640.39766801955,1941510.5670521767,1741870.169384157
2021-10-19,232453.27650629042,2269638.719390649,2037185.4428843586
2021-10-20,232223.98226816137,2249365.410892903,2017141.4286247415
2021-10-21,218283.0996289382,2113705.164899307,1895422.0652703687
2021-10-22,266451.6110976929,2608577.940273596,2342126.329175903
2021-10-23,238927.3137810456,2328661.0352941444,2089733.7215130988
2021-10-24,193835.7466064459,1900345.5545099825,1706509.8079035366
2021-10-25,207875.0008993544,2046819.149823636,1838944.1489242816
2021-10-26,226942.9342156417,2236120.9602483204,2009178.0260326788
2021-10-27,239719.921931885,2353305.3790968307,2113585.4571649455
